,name,description,created_at,text,location,retweeted,owner_name,owner_location,owner_created_at,retweeted_count
0,Eduardo Valente,photojournalist,Wed Jan 20 15:12:18 +0000 2021,Vacinação contra COVID-19 em Florianópolis https://t.co/sjm3xD9V1m,Brazil,False,,,,
1,Jornal Digital Canela,Noticias e informações atualizadas de Canela e região,Wed Jan 20 15:12:18 +0000 2021,Vó Rosinha é a primeira gramadense a ser vacinada contra o coronavírus https://t.co/FRysXOLC1J,"Canela, Brasil",False,,,,
2,JPQuesado,"24.
🗣️🎵 Bass @ CAUM & Meia Dúzia.
Once blogged about @F1.
2017/18 editor-in-chief @ComUMonline.
Jack of some trades...
Comms officer @diocesebraga.",Wed Jan 20 15:12:18 +0000 2021,O facto de isto ainda estar em curva ascendente é o que assusta mais.,Braga / Barcelos,False,,,,
3,Blog do Pávulo,"Novo blog do Pávulo, mas com as mesmas pegadas ácidas, verdadeiro e polêmico, como você.",Wed Jan 20 15:12:19 +0000 2021,Negacionista Luciano Hang está internado com covid-19 em São Paulo https://t.co/26V2heXs0b via @Blog do Pavulo,,False,,,,
4,🤡,https://www.instagram.com/p/CDNRRzEj4Lu/?igshid=197l8ej3o340v,Wed Jan 20 15:12:20 +0000 2021,"RT @clapiclapiclapi: SETE PESSOAS DA MESMA FAMÍLIA MORRERAM POR FALTA DE OXIGÊNIO pelo amor de deus. Bisavô, avó, avô, pai, mãe e 2 tios.","Brasília, Brasil",True,clarissa,"Rio de Janeiro, Brasil",Wed Jan 20 10:52:19 +0000 2021,253
5,ivanroberts,Reage Brasil! Hora de mudarmos de “redes sociais” !  TELEGRAM e DuckduckGo sao ótimos!!   🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🤬🇧🇷,Wed Jan 20 15:12:22 +0000 2021,RT @TerraBrasilnot: PSOL pede ao STF para proibir o ‘tratamento precoce’ contra Covid-19 https://t.co/5gman4RIfF,,True,Terra Brasil Notícias,,Wed Jan 20 13:46:41 +0000 2021,8
6,Julia,Cadelinha da Lady Gaga. // Grey’s - lúcifer - blindspot - OITNB - shadowHunters - sabrina - lockeEkey,Wed Jan 20 15:12:22 +0000 2021,RT @JornalDaGlobo: A Índia começa a exportar vacinas contra Covid-19 para seis países - Brasil está fora da lista:  https://t.co/VeeLnkNzQ7…,Chromatica,True,Jornal da Globo,,Wed Jan 20 03:53:23 +0000 2021,66
7,Acontece Jaboatão,Perfil oficial da primeira Agência Pública de Notícias do Jaboatão dos Guararapes.,Wed Jan 20 15:12:23 +0000 2021,Vitória de Santo Antão começa a vacinar contra a COVID-19 https://t.co/LL7ZC94g89,Jaboatão dos Guararapes,False,,,,
8,Acontece Jaboatão,Perfil oficial da primeira Agência Pública de Notícias do Jaboatão dos Guararapes.,Wed Jan 20 15:12:23 +0000 2021,PREFEITURA DE GARANHUNS INICIA VACINAÇÃO CONTRA A COVID-19 NESTA QUINTA (21) https://t.co/zKjjHhGFvG,Jaboatão dos Guararapes,False,,,,
9,Acontece Jaboatão,Perfil oficial da primeira Agência Pública de Notícias do Jaboatão dos Guararapes.,Wed Jan 20 15:12:23 +0000 2021,Técnica de enfermagem do Hospital de Campanha é a primeira a receber vacina contra a covid-19 em Petrolina https://t.co/4JU2X52Bsr,Jaboatão dos Guararapes,False,,,,
10,Carlos Sato,"Bacharel em Física (USP) e licenciado em Matemática (UNICAMP). Professor EBTT no IFSP,  campus Campinas.",Wed Jan 20 15:12:23 +0000 2021,"RT @MarcioPochmann: Na luta dos países pobres pela quebra de patentes das vacinas contra Covid19 na OMC, o Brasil se posicionou a favor dos…",,True,Marcio Pochmann,,Wed Jan 20 15:02:41 +0000 2021,14
11,Hoje Pernambuco,Portal de Notícias do Estado de Pernambuco,Wed Jan 20 15:12:23 +0000 2021,Técnica de enfermagem do Hospital de Campanha é a primeira a receber vacina contra a covid-19 em Petrolina https://t.co/cn5jv0d5bQ,,False,,,,
12,Hoje Pernambuco,Portal de Notícias do Estado de Pernambuco,Wed Jan 20 15:12:23 +0000 2021,PREFEITURA DE GARANHUNS INICIA VACINAÇÃO CONTRA A COVID-19 NESTA QUINTA (21) https://t.co/0ruaqD96Ty,,False,,,,
13,Hoje Pernambuco,Portal de Notícias do Estado de Pernambuco,Wed Jan 20 15:12:23 +0000 2021,Vitória de Santo Antão começa a vacinar contra a COVID-19 https://t.co/HPhoyrzIbE,,False,,,,
14,António Costa,Primeiro-Ministro de Portugal e @antoniocostaps. Sigam também o XXII Governo em @govpt.,Wed Jan 20 15:12:24 +0000 2021,"Estive hoje na sessão plenária do @Europarl_PT, para a apresentação das prioridades da @2021PortugalEU. A crise pro… https://t.co/kqpLr9m7Dq",Portugal,False,,,,
